Company_name,Trading_name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change Percentage,52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
First Janata Bank Mutual Fund,1JANATAMF,6.10,6.10,3:45 PM,6.10 - 6.20,0,3.92,0.00%,5.70 - 10.00,6.10,"642,102.00",6.10,183,6.10,"1,768.532",-,,"2,899.23",Mutual Fund,10.0,1,"289,923,349",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9513138,info@racebd.com,http://www.racebd.com,,,,
Prime Finance First Mutual Fund,1STPRIMFMF,17.10,16.90,3:45 PM,16.70 - 17.10,0.2,1.63,1.18%,15.60 - 24.40,17.00,"96,677.00",16.90,99,16.90,338.000,-,,200.00,Mutual Fund,10.0,1,"20,000,000",Mutual Funds,"Green City Edge (4th floor)rn89, Kakrail, Dhaka- 1000.",+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
aamra networks limited,AAMRANET,38.40,38.40,3:45 PM,37.90 - 38.90,-0.2,27.53,-0.52%,34.70 - 64.50,37.90,"719,947.00",38.60,666,38.60,"2,278.746","1,000.00","02 Oct, 2017",590.35,Equity,10.0,1,"59,034,865",IT Sector,"Safura Tower (9th Floor)rn20 Kemal Ataturk AvenuernBanani, Dhaka-1213","8802-8832446, 8802-941100",,aamranet.sharedept@aamra.com.bd,http://www.aamra.com.bd,Syed Moniruzzaman,01713477405,8802-8832446 Ext-140,syed.moniruzzaman@aamra.com.bd
aamra technologies limited,AAMRATECH,30.40,30.40,3:45 PM,29.90 - 31.00,-0.1,14.23,-0.33%,26.40 - 46.60,30.40,"469,396.00",30.50,444,30.50,"1,861.865","1,000.00",,610.45,Equity,10.0,1,"61,044,757",IT Sector,"Safura Tower (9th Floor)rn20 Kemal Ataturk AvenuernBanani, Dhaka-1213","8802-9822146, 8802-8832446,8802-8832446",+88 02 9820605,aamratech.sharedept@aamra.com.bd,http://www.aamra.com.bd,Syed Moniruzzaman,01713477405,8802-8832446   Ext-140,syed.moniruzzaman@aamra.com.bd
AB Bank 1st Mutual fund,ABB1STMF,5.20,5.20,3:45 PM,5.10 - 5.30,0,0.57,0.00%,5.10 - 8.10,5.20,"110,655.00",5.20,51,5.20,"1,243.270",-,"29 Jan, 2012","2,390.90",Mutual Fund,10.0,1,"239,090,396",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,,,,
AB Bank Limited,ABBANK,10.00,10.00,3:45 PM,9.80 - 10.00,0.2,6.17,2.04%,9.80 - 17.30,9.90,"622,397.00",9.80,263,9.80,"8,436.956","15,000.00",,"8,609.14",Equity,10.0,1,"860,913,831",Bank,"The Skymark, 18 Gulshan Avenue, Gulshan-1, Dhaka-1212","+880-2-9560312, Ext. 271",+880-2-9555098,"info@abbl.com, cs@abbl.com",http://www.abbl.com,Md. Jasim Uddin ACS,+8801819145156,+880 9678555678,"juddin@abbl.com, cs@abbl.com"
Aman Cotton Fibrous Limited,ACFL,27.30,27.30,3:45 PM,25.80 - 27.60,1,4.37,3.80%,24.70 - 50.50,25.80,"164,672.00",26.30,273,26.30,"2,651.917","2,000.00","06 Aug, 2018","1,008.33",Equity,10.0,1,"100,833,333",Textile,"2, Ishakha Avenue, Sector # 6, UttararnDhaka-1230","+880-2-48961, 09612613000, +880 62552740",880-2-58950510,s.islam@amangroupbd.com,https://www.amancotton.com,"Shariful Islam, CMA-Inter",01728-272596,,s.islam@amangroupbd.com
ACI  Limited,ACI,276.40,276.40,3:45 PM,268.30 - 280.00,3.7,11.33,1.36%,264.70 - 351.20,273.30,"41,686.00",272.70,354,272.70,"19,791.690","1,500.00",,725.77,Equity,10.0,1,"72,576,788",Pharmaceuticals & Chemicals,"ACI Centre, 245 Tejgaon I/A, Dhaka - 1208","8878603,  9556254",8878619.,info@aci-bd.com,http://www.aci-bd.com,Md. Mostafizur Rahman,+880 1708467600,8878603 Ext. 100,mostafizur.rahman@aci-bd.com
ACI Formulations Limited,ACIFORMULA,157.40,157.40,3:45 PM,154.40 - 159.80,1.8,30.77,1.16%,146.30 - 225.90,159.00,"195,325.00",155.60,605,155.60,"7,352.100",500.00,,472.50,Equity,10.0,1,"47,250,000",Pharmaceuticals & Chemicals,"ACI Centre, 245 Tejgaon, Industrial Area, Dhaka-1208","8802 8878603, 9556254",8878619.,"info@aci-bd.com,",http://www.aci-bd.com/acifl/,Mohammad Mostafizur Rahman,+880 1708467600,8878603 Ext. 100,mostafizur.rahman@aci-bd.com
The ACME Laboratories Limited,ACMELAB,85.80,85.80,3:45 PM,83.30 - 85.90,1.3,15.91,1.54%,74.60 - 117.70,84.00,"188,991.00",84.50,357,84.50,"17,880.344","5,000.00","07 Jun, 2016","2,116.02",Equity,10.0,1,"211,601,700",Pharmaceuticals & Chemicals,"Court de la ACME, 1/4 Kallayanpur Mirpur Road, Dhaka-1207",+88 02 9004194-6,+88 02 9039399,cs@acmeglobal.com,http://www.acmeglobal.com,"Md. Arshadul Kabir, FCA","+88 01777 765233, 01937404568",+88 02 8091051-3 Ext-197,cs@acmeglobal.com
